91001at147545	tig00000006	541272	552066
26965at147545	tig00000004	755406	767945
96015at147545	tig00000023	2365626	2376612
81527at147545	tig00000025	1126255	1137148
33013at147545	tig00000012	170811	182718
60540at147545	tig00000025	840517	852767
89443at147545	tig00000022	481473	492371
42313at147545	tig00000030	727577	739579
77675at147545	tig00000004	3023078	3033920
77675at147545	tig00000022	432308	443054
77675at147545	tig00000019	1324646	1335430
70803at147545	tig00000025	898097	909295
97119at147545	tig00000025	1393332	1404258
97119at147545	tig00000023	1280659	1291381
97119at147545	tig00000022	314765	325329
9153at147545	tig00000021	1755403	1768735
90018at147545	tig00000010	906480	917883
54659at147545	tig00000004	3131715	3142563
54659at147545	tig00000012	28049	44763
54659at147545	tig00000008	1338122	1349343
50510at147545	tig00000019	579945	592476
87087at147545	tig00000023	1823757	1834958
112902at147545	tig00000006	101983	112742
26633at147545	tig00000006	520670	532844
5671at147545	tig00000019	1173603	1189124
12803at147545	tig00000012	22152	35065
86067at147545	tig00000008	495916	506861
110166at147545	tig00000025	680080	690792
23913at147545	tig00000007	1165188	1178072
105892at147545	tig00000025	429293	440324
112094at147545	tig00000008	961047	971755
14007at147545	tig00000030	341997	355416
88995at147545	tig00000020	1580193	1591388
73088at147545	tig00000012	191863	202992
32433at147545	tig00000023	1737999	1749976
77326at147545	tig00000007	458214	469174
31348at147545	tig00000010	412971	425182
31348at147545	tig00000021	1624215	1635285
90621at147545	tig00000012	115328	126542
41498at147545	tig00000020	1342522	1382272
70705at147545	tig00000004	1564511	1575577
91692at147545	tig00000006	1706505	1717767
91692at147545	tig00000022	400630	411655
91692at147545	tig00000011	25983	36473
114368at147545	tig00000025	799521	810180
69023at147545	tig00000023	1401225	1412674
112194at147545	tig00000007	1325093	1335675
3445at147545	tig00000013	124555	140353
91636at147545	tig00000006	426172	439927
89744at147545	tig00000004	751405	764751
12176at147545	tig00000019	500104	512674
12176at147545	tig00000027	304902	317279
24083at147545	tig00000023	756644	769290
24083at147545	tig00000022	759248	770956
24083at147545	tig00000025	670942	724343
101524at147545	tig00000020	1511259	1522072
18820at147545	tig00000007	1926038	1940238
55734at147545	tig00000023	1635261	1646669
55734at147545	tig00000007	530071	541861
55734at147545	tig00000008	249793	260990
41471at147545	tig00000006	525438	537821
93701at147545	tig00000025	1101631	1112858
49762at147545	tig00000020	428181	439681
11089at147545	tig00000004	825230	838059
112055at147545	tig00000021	1397445	1408116
89028at147545	tig00000004	3089964	3101388
117111at147545	tig00000027	756428	767115
101552at147545	tig00000023	865514	876533
79442at147545	tig00000004	1901830	1913136
106600at147545	tig00000006	202773	213526
11426at147545	tig00000023	1406968	1420158
102682at147545	tig00000004	2237721	2248355
6956at147545	tig00000012	13396	26820
93057at147545	tig00000004	1828941	1839962
2149at147545	tig00000019	981915	996858
120604at147545	tig00000020	749588	762783
101795at147545	tig00000027	421175	431749
70397at147545	tig00000012	504312	515790
105841at147545	tig00000030	809353	819879
115158at147545	tig00000007	465418	476840
31211at147545	tig00000004	3418261	3429962
31211at147545	tig00000013	62882	74317
98634at147545	tig00000006	83083	93998
14464at147545	tig00000007	1537873	1553269
60892at147545	tig00000004	2421936	2433612
31499at147545	tig00000023	2099478	2111749
31499at147545	tig00000006	1314203	1325852
114291at147545	tig00000025	818148	828678
114291at147545	tig00000022	153149	163424
97423at147545	tig00000010	934785	945423
12612at147545	tig00000022	776782	790034
88760at147545	tig00000010	349247	360744
116862at147545	tig00000023	1086722	1097305
14249at147545	tig00000008	801033	818488
14249at147545	tig00000007	1335690	1348032
73893at147545	tig00000025	644482	656614
91440at147545	tig00000012	186168	197282
23884at147545	tig00000004	3323483	3335701
12493at147545	tig00000004	1660774	1673100
12493at147545	tig00000008	909461	921220
2265at147545	tig00000007	1504322	1522926
3654at147545	tig00000004	2035970	2050989
54333at147545	tig00000004	1914097	1925355
92835at147545	tig00000007	1958314	1969212
49662at147545	tig00000004	184002	195919
10234at147545	tig00000022	798299	811994
109532at147545	tig00000020	436267	446997
64263at147545	tig00000007	2269242	2280824
75034at147545	tig00000027	764222	775525
21061at147545	tig00000007	623866	671802
106247at147545	tig00000030	615290	626151
101788at147545	tig00000006	1807869	1818724
101788at147545	tig00000008	982588	992917
101788at147545	tig00000023	883188	893850
66819at147545	tig00000004	1099322	1113415
35881at147545	tig00000025	1179825	1193670
35881at147545	tig00000007	1365054	1376166
25973at147545	tig00000027	82158	94427
87495at147545	tig00000012	601239	612241
42973at147545	tig00000022	657101	668835
118410at147545	tig00000021	1109701	1120276
66556at147545	tig00000021	398804	415325
108788at147545	tig00000008	801027	811632
8118at147545	tig00000012	317410	330350
51186at147545	tig00000012	209967	221622
24274at147545	tig00000021	575598	587426
26017at147545	tig00000006	58484	71677
32027at147545	tig00000013	50857	63756
27129at147545	tig00000019	931358	943677
25804at147545	tig00000019	120477	135170
25804at147545	tig00000030	1062327	1074130
25804at147545	tig00000025	181963	193757
65211at147545	tig00000023	1447935	1458842
5204at147545	tig00000004	645152	658885
64900at147545	tig00000025	1256824	1269416
14844at147545	tig00000004	2787691	2800715
13801at147545	tig00000008	684624	697368
13801at147545	tig00000007	2308841	2321240
13801at147545	tig00000004	1217617	1230164
53619at147545	tig00000013	155970	168514
17336at147545	tig00000030	818194	830864
17336at147545	tig00000023	992815	1005096
107606at147545	tig00000025	1095580	1106553
109398at147545	tig00000020	1296529	1307551
90169at147545	tig00000004	2483393	2494313
55225at147545	tig00000007	1088157	1099642
83956at147545	tig00000023	979658	990923
89245at147545	tig00000006	1892328	1903401
93508at147545	tig00000020	39992	51756
72947at147545	tig00000008	703229	714523
120912at147545	tig00000027	132752	143230
85932at147545	tig00000027	80558	91484
85932at147545	tig00000013	68183	78905
106026at147545	tig00000008	1256916	1268009
118006at147545	tig00000006	1162749	1173438
10108at147545	tig00000007	818400	832937
117189at147545	tig00000007	561738	572737
30797at147545	tig00000019	438110	449784
30797at147545	tig00000004	2376455	2414622
49299at147545	tig00000004	974093	985393
103811at147545	tig00000004	1930996	1941948
58464at147545	tig00000010	465392	477408
1193at147545	tig00000022	142457	181923
94038at147545	tig00000020	963662	974427
11139at147545	tig00000010	893592	906647
12641at147545	tig00000020	980418	997108
98271at147545	tig00000027	519558	530406
106474at147545	tig00000010	688309	702191
8659at147545	tig00000012	75620	88764
8659at147545	tig00000008	362011	373906
8659at147545	tig00000019	390704	402975
35889at147545	tig00000006	568145	580243
58967at147545	tig00000010	877726	889561
