69541at147545	tig00000001	2006656	2018204
93688at147545	tig00000002	1409428	1420009
48403at147545	tig00000007	378975	390546
10508at147545	tig00000002	2449453	2462659
34263at147545	tig00000004	2159438	2171175
46213at147545	tig00000001	1560831	1572148
46213at147545	tig00000005	599952	611122
114019at147545	tig00000002	2172864	2183259
18140at147545	tig00000001	2910809	2922419
88382at147545	tig00000005	1464545	1474999
88382at147545	tig00000010	130898	141419
88382at147545	tig00000004	3605785	3616194
92132at147545	tig00000002	1814701	1825732
14414at147545	tig00000003	2534785	2546686
64378at147545	tig00000004	1994882	2006279
70628at147545	tig00000004	1674290	1685628
70628at147545	tig00000009	1313359	1324226
96092at147545	tig00000004	619254	629977
58235at147545	tig00000001	1516035	1527488
95594at147545	tig00000005	978406	989369
21626at147545	tig00000004	3154116	3165939
11268at147545	tig00000001	3644265	3657433
3705at147545	tig00000002	1065290	1080698
8013at147545	tig00000001	968073	980727
96558at147545	tig00000002	3884905	3897387
68285at147545	tig00000007	1781846	1792911
101352at147545	tig00000005	1008569	1019303
98760at147545	tig00000010	891033	901731
31153at147545	tig00000002	3966598	3978879
39508at147545	tig00000003	2433755	2445378
7664at147545	tig00000008	1098607	1111634
7387at147545	tig00000004	739683	792013
7546at147545	tig00000001	2148676	2162732
26942at147545	tig00000002	513524	525552
56930at147545	tig00000010	823894	835146
34502at147545	tig00000002	243145	255220
24930at147545	tig00000002	632038	643879
24930at147545	tig00000009	926536	937912
24437at147545	tig00000003	829925	841775
71497at147545	tig00000002	1102038	1113091
71497at147545	tig00000004	1251924	1262667
71497at147545	tig00000003	2911890	2922681
20599at147545	tig00000009	1345642	1358193
73751at147545	tig00000003	2745536	2756683
73751at147545	tig00000008	1454032	1464907
25656at147545	tig00000005	959873	972162
68616at147545	tig00000002	1738675	1749701
11334at147545	tig00000001	683680	732166
46736at147545	tig00000009	1285888	1297401
28389at147545	tig00000001	548926	560785
13135at147545	tig00000005	1069678	1080936
77671at147545	tig00000003	2200818	2211733
83944at147545	tig00000007	2069169	2080248
72549at147545	tig00000002	1976487	1989074
28487at147545	tig00000001	2230175	2241149
84104at147545	tig00000005	1349232	1359915
84104at147545	tig00000007	463114	473752
85085at147545	tig00000001	1495241	1506002
84005at147545	tig00000005	2342840	2353811
33579at147545	tig00000002	2050465	2062146
18541at147545	tig00000007	1534474	1546879
10613at147545	tig00000002	3585467	3599331
62642at147545	tig00000010	826029	837223
109732at147545	tig00000010	1064985	1075533
110159at147545	tig00000007	1720179	1730833
110159at147545	tig00000008	135237	145752
73443at147545	tig00000005	803741	814864
46158at147545	tig00000007	147062	159167
118715at147545	tig00000005	1460223	1470507
1713at147545	tig00000001	2204907	2219025
76492at147545	tig00000008	1198192	1209248
25700at147545	tig00000007	428326	439828
8881at147545	tig00000010	1004671	1018132
15493at147545	tig00000001	1390127	1402375
66572at147545	tig00000001	771310	782341
63017at147545	tig00000005	999828	1011277
104427at147545	tig00000008	1057990	1068610
29726at147545	tig00000004	1432363	1444161
32414at147545	tig00000005	1639911	1651985
22548at147545	tig00000007	1403696	1415380
65004at147545	tig00000003	1840744	1851859
65960at147545	tig00000005	1142484	1153481
77105at147545	tig00000003	1150345	1161328
61616at147545	tig00000009	974267	985455
37635at147545	tig00000004	2638154	2649656
65362at147545	tig00000005	1761904	1773928
26838at147545	tig00000002	4563561	4575436
40565at147545	tig00000004	2487578	2499165
33902at147545	tig00000003	1548758	1560619
14138at147545	tig00000002	482384	494658
25339at147545	tig00000003	1512565	1524578
23473at147545	tig00000002	2053436	2065623
23473at147545	tig00000001	3026100	3037377
29210at147545	tig00000005	3074552	3086178
119856at147545	tig00000005	1055639	1065719
91965at147545	tig00000002	2321339	2332200
83670at147545	tig00000007	61751	72613
120924at147545	tig00000002	3410955	3421335
16588at147545	tig00000001	2421893	2433594
114715at147545	tig00000003	753199	763711
57296at147545	tig00000003	1765974	1777132
96149at147545	tig00000003	1751509	1762162
89366at147545	tig00000003	1737418	1748275
37162at147545	tig00000001	447645	459545
106841at147545	tig00000004	2799886	2810304
47491at147545	tig00000001	3056144	3067538
65675at147545	tig00000007	272573	282668
95380at147545	tig00000005	2117917	2128785
30451at147545	tig00000001	2128939	2141376
107615at147545	tig00000002	2327126	2338140
100064at147545	tig00000007	655719	666105
64273at147545	tig00000005	2126806	2138464
64273at147545	tig00000004	999237	1010724
64273at147545	tig00000002	773282	784535
96837at147545	tig00000009	368768	379727
107739at147545	tig00000008	1335629	1346006
122448at147545	tig00000007	585897	596220
41342at147545	tig00000003	1917714	1929498
41342at147545	tig00000004	2773730	2785112
54720at147545	tig00000004	872699	884222
54720at147545	tig00000005	1072920	1083961
29745at147545	tig00000003	600571	612535
8037at147545	tig00000004	1453089	1465962
65866at147545	tig00000007	297159	308186
104149at147545	tig00000005	2515631	2526353
104149at147545	tig00000001	4371670	4382083
104149at147545	tig00000004	325239	335652
75022at147545	tig00000001	2320195	2331383
34068at147545	tig00000001	4227526	4239097
7572at147545	tig00000010	917785	931029
39683at147545	tig00000004	3127625	3139297
39683at147545	tig00000010	298080	329047
39683at147545	tig00000002	1792943	1845270
85261at147545	tig00000002	2551947	2562732
19259at147545	tig00000001	1920992	1933885
19259at147545	tig00000003	1541488	1553326
24279at147545	tig00000007	1337436	1349835
84525at147545	tig00000003	2706077	2717092
29445at147545	tig00000002	3176116	3189981
108372at147545	tig00000001	2533658	2544314
20455at147545	tig00000004	1552451	1564583
31650at147545	tig00000009	1034440	1045534
62470at147545	tig00000004	610122	620784
12533at147545	tig00000003	1092952	1105661
12199at147545	tig00000002	1048214	1060892
89295at147545	tig00000004	2966689	2977304
45724at147545	tig00000002	2187146	2198367
103613at147545	tig00000003	882285	892852
103613at147545	tig00000001	1776475	1787241
103613at147545	tig00000002	1951942	1962600
20472at147545	tig00000007	403708	416503
44137at147545	tig00000002	2324687	2336399
41190at147545	tig00000007	636032	647902
44815at147545	tig00000010	1050105	1061601
44815at147545	tig00000007	2066345	2077440
44815at147545	tig00000001	1315342	1326199
25881at147545	tig00000005	2163451	2174934
25881at147545	tig00000001	3816503	3827649
29060at147545	tig00000002	1812518	1824452
36642at147545	tig00000008	1078377	1089883
17343at147545	tig00000002	3404134	3416866
98638at147545	tig00000009	912472	923112
91312at147545	tig00000005	269491	280162
43330at147545	tig00000001	283123	294472
110307at147545	tig00000002	1711884	1722482
30915at147545	tig00000001	1703827	1715646
30915at147545	tig00000002	3288025	3299795
89908at147545	tig00000009	1087547	1098198
105379at147545	tig00000002	1589292	1599929
107844at147545	tig00000009	1495785	1506339
68539at147545	tig00000005	2065780	2076803
112977at147545	tig00000005	1208781	1219158
97093at147545	tig00000004	2396984	2408460
111536at147545	tig00000003	1292560	1303212
4675at147545	tig00000003	1897893	1911180
15824at147545	tig00000009	727346	738854
69505at147545	tig00000007	1954993	1966151
33794at147545	tig00000001	2721142	2733572
85577at147545	tig00000005	1332431	1343265
71285at147545	tig00000004	2681551	2692449
71285at147545	tig00000001	3859254	3870124
